Case,Country Code,Country Name,Family importance,Friend importance,Happiness,Life satisfaction,Religious,Suicide justifiability,Employment status,age,Level of Education,Live with Parents,Continent
7,616.0,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7,643.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7,710.0,South-Africa,0.9925978145928798,0.7581952767007403,0.8293972506168488,6.367641875220303,0.8470215015861826,2.0112795206203735,1.2523792738808601,38.054282692985545,5.435318998942545,0.30348960169192807,4.0
7,716.0,Zimbabwe,0.9979296066252588,0.7712215320910973,0.5734989648033126,3.9782608695652173,0.8913043478260869,1.2277432712215322,1.2919254658385093,34.89026915113872,3.831262939958592,0.2639751552795031,4.0
7,724.0,Spain,0.990909090909091,0.9281818181818182,0.8790909090909091,7.007272727272727,0.6427272727272727,3.112727272727273,1.08,45.98909090909091,4.410909090909091,0.23545454545454544,3.0
7,752.0,Sweden,0.978675645342312,0.9797979797979798,0.9371492704826038,7.64983164983165,0.39281705948372614,4.198653198653199,1.0460157126823793,44.96969696969697,5.958473625140292,0.05723905723905724,3.0
7,764.0,Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
7,818.0,Egypt,0.9973154362416108,0.8369127516778524,0.8959731543624161,5.364429530201343,0.9865771812080537,1.1768456375838927,1.0932885906040268,37.89463087248322,4.198993288590604,0.35771812080536913,4.0
7,840.0,USA,0.9930735930735931,0.9601731601731601,0.9428571428571428,7.681385281385281,0.8346320346320346,2.6354978354978353,1.0649350649350648,42.54545454545455,6.666666666666667,0.13073593073593073,2.0
7,858.0,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,860.0,Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8,32.0,Argentina,0.9768339768339769,0.8243243243243243,0.8262548262548263,7.293436293436294,0.805019305019305,2.0926640926640925,1.1293436293436294,41.41891891891892,4.463320463320463,0.3108108108108108,1.0
